baseline,estimate,upper,lower,NL,Model,dropped
0,-0.005427681859625237,0.05568514551953748,-0.06654050923878796,8,TNL8,none
25,-0.2921333801108641,-0.16998770188342632,-0.41427905833830186,8,TNL8,none
30,-0.3494745197611119,-0.19815778525966807,-0.5007912542625557,8,TNL8,none
0,0.07349999779737479,0.14649337804698087,5.066175477687201e-4,9,TNL9,none
25,-0.20072727483866817,-0.06340702530354128,-0.33804752437379504,9,TNL9,none
30,-0.2555727293658768,-0.0873968736397599,-0.42374858509199376,9,TNL9,none
0,-0.0981365205399049,-0.002559827644632001,-0.1937132134351778,10,TNL10,none
25,-0.3267778803119899,-0.17424859498341974,-0.4793071656405601,10,TNL10,none
30,-0.37250615226640693,-0.18923143013307614,-0.5557808743997377,10,TNL10,none
0,-0.005389040661881129,0.05572721524678762,-0.06650529657054988,8,TNL8,ALB
25,-0.2917812298824468,-0.1697186204711516,-0.413843839293742,8,TNL8,ALB
30,-0.34905966772655994,-0.19783307401010175,-0.5002862614430181,8,TNL8,ALB
0,0.07361916261183465,0.14661801337202274,6.203118516465572e-4,9,TNL9,ALB
25,-0.19936224406267306,-0.062123053202708306,-0.33660143492263783,9,TNL9,ALB
30,-0.25395852539757474,-0.08586687996644166,-0.4220501708287078,9,TNL9,ALB
0,-0.09837103807112647,-0.002756774818762478,-0.19398530132349046,10,TNL10,ALB
25,-0.3257994025241961,-0.1733474907858175,-0.4782513142625747,10,TNL10,ALB
30,-0.37128507541481004,-0.1880953257417703,-0.5544748250878497,10,TNL10,ALB
0,-0.002621270067153237,0.05854251116057905,-0.06378505129488553,8,TNL8,ARE
25,-0.29916328866191355,-0.17694336415957856,-0.42138321316424854,8,TNL8,ARE
30,-0.3584716923808656,-0.20704743411496546,-0.5098959506467657,8,TNL8,ARE
0,0.07414039784187734,0.14718348721338886,0.001097308470365821,9,TNL9,ARE
25,-0.20463388977341185,-0.06729899068522316,-0.34196878886160054,9,TNL9,ARE
30,-0.2603887472964697,-0.09217817189686328,-0.42859932269607615,9,TNL9,ARE
0,-0.1009752198753049,-0.005385160793421634,-0.19656527895718817,10,TNL10,ARE
25,-0.3258063071266384,-0.17332774890907066,-0.4782848653442061,10,TNL10,ARE
30,-0.3707725245769051,-0.1875597757350923,-0.553985273418718,10,TNL10,ARE
0,-0.013091398335828822,0.04827829612256076,-0.0744610927942184,8,TNL8,ARG
25,-0.32786314672835826,-0.2070379892824029,-0.4486883041743136,8,TNL8,ARG
30,-0.39081749640686414,-0.2408181127486541,-0.5408168800650741,8,TNL8,ARG
0,0.06815439425981973,0.14141367459031812,-0.005104886070678674,9,TNL9,ARG
25,-0.247650420259394,-0.11245236301739095,-0.38284847750139706,9,TNL9,ARG
30,-0.3108113831632368,-0.14495044312343264,-0.476672323203041,9,TNL9,ARG
0,-0.1041235517799317,-0.008249739587754448,-0.19999736397210893,10,TNL10,ARG
25,-0.37890610677808606,-0.22875075829871008,-0.5290614552574621,10,TNL10,ARG
30,-0.43386261777771684,-0.25324495196050206,-0.6144802835949317,10,TNL10,ARG
0,-0.004443419139624169,0.056910125792981416,-0.06579696407222975,8,TNL8,AUS
25,-0.2942895700779742,-0.16868068982059806,-0.41989845033535034,8,TNL8,AUS
30,-0.35225880026564427,-0.19669511105553325,-0.5078224894757553,8,TNL8,AUS
0,0.07376789266791126,0.14704331722395453,4.92468111867983e-4,9,TNL9,AUS
25,-0.20468252474448145,-0.06379083316494269,-0.3455742163240202,9,TNL9,AUS
30,-0.26037260822696,-0.0878525455464908,-0.4328926709074292,9,TNL9,AUS
0,-0.09806553461374419,-0.0023157671010288344,-0.19381530212645953,10,TNL10,AUS
25,-0.3295624225793282,-0.1735852929976656,-0.4855395521609909,10,TNL10,AUS
30,-0.3758618001724451,-0.18844439816925035,-0.5632792021756399,10,TNL10,AUS
0,-0.007530028685395161,0.053618977090530706,-0.06867903446132102,8,TNL8,AUT
25,-0.29271100215923856,-0.17051771212824926,-0.41490429219022784,8,TNL8,AUT
30,-0.3497471968540073,-0.19839368883883993,-0.5011007048691747,8,TNL8,AUT
0,0.07073431021192828,0.1437606032270584,-0.0022919828032018363,9,TNL9,AUT
25,-0.2015406358435173,-0.06415441806381567,-0.33892685362321895,9,TNL9,AUT
30,-0.2559956250546064,-0.08776540915751707,-0.4242258409516957,9,TNL9,AUT
0,-0.10189060008454551,-0.006131187088385573,-0.19765001308070546,10,TNL10,AUT
25,-0.3278381630395763,-0.1751976856687868,-0.4804786404103658,10,TNL10,AUT
30,-0.37302767563058237,-0.18965744857546532,-0.5563979026856994,10,TNL10,AUT
0,-0.003211687718812948,0.05788866610018603,-0.06431204153781193,8,TNL8,AZE
25,-0.2910763135913319,-0.1688769136823402,-0.4132757135003236,8,TNL8,AZE
30,-0.34864923876583576,-0.19728668610463726,-0.5000117914270342,8,TNL8,AZE
